name,poi
BELDEN TIMOTHY N,0.48003644
BOWEN JR RAYMOND M,0.19941016
HANNON KEVIN P,0.88034964
DELAINEY DAVID W,0.058444895
CAUSEY RICHARD A,0.29609597
HICKERSON GARY J,0.44270593
FREVERT MARK A,0.69114184
CHAN RONNIE,0.006998501
DONAHUE JR JEFFREY M,0.0060397824
REYNOLDS LAWRENCE,0.23051004
HORTON STANLEY C,0.009363627
LEWIS RICHARD,0.0035801681
SHERRICK JEFFREY B,0.0034235937
MEYER JEROME J,0.006998501
DERRICK JR. JAMES V,0.2460194
PIRO JIM,0.006998501
DETMERING TIMOTHY J,0.024786556
KISHKILL JOSEPH G,0.19884434
BAY FRANKLIN R,0.10221392
PRENTICE JAMES,0.0033345877
TOTAL,0.6606801
FALLON JAMES B,0.6557097
METTS MARK,0.0069954502
WODRASKA JOHN,0.030920759
MORDAUNT KRISTINA M,0.015446356
CARTER REBECCA C,0.005898644
BHATNAGAR SANJAY,0.031447433
WALTERS GARETH W,0.016403133
BIBI PHILIPPE A,0.103352316
SHERRIFF JOHN R,0.37183934
GIBBS DANA R,0.010739863
LINDHOLM TOD A,0.24441782
MCMAHON JEFFREY,0.6810936
